,Year,Region,Technology,Carrier,Value
0,2019,reg1,Coal_supply,Coal,1065404553.081763
1,2020,reg1,Coal_supply,Coal,1210396659.4215913
2,2021,reg1,Coal_supply,Coal,1271459414.3670633
3,2022,reg1,Coal_supply,Coal,1400547100.4552927
4,2023,reg1,Coal_supply,Coal,1529634786.5435224
5,2024,reg1,Coal_supply,Coal,1658722472.2766168
6,2025,reg1,Coal_supply,Coal,1787810158.3648462
7,2026,reg1,Coal_supply,Coal,1916897844.453076
8,2027,reg1,Coal_supply,Coal,2045985530.18617
9,2028,reg1,Coal_supply,Coal,2175073216.2743998
10,2029,reg1,Coal_supply,Coal,2304160902.007495
11,2030,reg1,Coal_supply,Coal,2433248588.095724
12,2019,reg1,Diesel_supply,Diesel,1460475.2602774785
13,2020,reg1,Diesel_supply,Diesel,1460475.2602774785
14,2021,reg1,Diesel_supply,Diesel,1460475.2602774785
15,2022,reg1,Diesel_supply,Diesel,1460475.2602774785
16,2023,reg1,Diesel_supply,Diesel,1460475.2602774785
17,2024,reg1,Diesel_supply,Diesel,1460475.2602774785
18,2025,reg1,Diesel_supply,Diesel,1460475.2602774785
19,2026,reg1,Diesel_supply,Diesel,1460475.2602774785
20,2027,reg1,Diesel_supply,Diesel,1460475.2602774785
21,2028,reg1,Diesel_supply,Diesel,1460475.2602774785
22,2029,reg1,Diesel_supply,Diesel,1460475.2602774785
23,2030,reg1,Diesel_supply,Diesel,1460475.2602774785
24,2019,reg1,Oil_supply,Oil,1451264.3705117435
25,2020,reg1,Oil_supply,Oil,1451264.3705117435
26,2021,reg1,Oil_supply,Oil,1583834.1102507054
27,2022,reg1,Oil_supply,Oil,1726787.2733784118
28,2023,reg1,Oil_supply,Oil,1869740.4365061186
29,2024,reg1,Oil_supply,Oil,2012693.5982516687
30,2025,reg1,Oil_supply,Oil,2155405.286191845
31,2026,reg1,Oil_supply,Oil,2298358.4493195512
32,2027,reg1,Oil_supply,Oil,2441311.611065102
33,2028,reg1,Oil_supply,Oil,2584264.774192808
34,2029,reg1,Oil_supply,Oil,2727217.9373205155
35,2030,reg1,Oil_supply,Oil,2869929.6238785344
36,2019,reg1,Biofuel_supply,Biofuel,9733325.546672897
37,2020,reg1,Biofuel_supply,Biofuel,9733325.546672897
38,2021,reg1,Biofuel_supply,Biofuel,9733325.546672897
39,2022,reg1,Biofuel_supply,Biofuel,9733325.546672897
40,2023,reg1,Biofuel_supply,Biofuel,9733325.546672897
41,2024,reg1,Biofuel_supply,Biofuel,9733325.546672897
42,2025,reg1,Biofuel_supply,Biofuel,9733325.546672897
43,2026,reg1,Biofuel_supply,Biofuel,9733325.546672897
44,2027,reg1,Biofuel_supply,Biofuel,9733325.546672897
45,2028,reg1,Biofuel_supply,Biofuel,9733325.546672897
46,2029,reg1,Biofuel_supply,Biofuel,9733325.546672897
47,2030,reg1,Biofuel_supply,Biofuel,9733325.546672897
48,2019,reg1,Hydro_PP_1,Electricity,614326465.5695999
49,2020,reg1,Hydro_PP_1,Electricity,614326465.5695999
50,2021,reg1,Hydro_PP_1,Electricity,614326465.5695999
51,2022,reg1,Hydro_PP_1,Electricity,614326465.5695999
52,2023,reg1,Hydro_PP_1,Electricity,614326465.5695999
53,2024,reg1,Hydro_PP_1,Electricity,614326465.5695999
54,2025,reg1,Hydro_PP_1,Electricity,614326465.5695999
55,2026,reg1,Hydro_PP_1,Electricity,614326465.5695999
56,2027,reg1,Hydro_PP_1,Electricity,614326465.5695999
57,2028,reg1,Hydro_PP_1,Electricity,614326465.5695999
58,2029,reg1,Hydro_PP_1,Electricity,614326465.5695999
59,2030,reg1,Hydro_PP_1,Electricity,614326465.5695999
60,2019,reg1,Hydro_PP_2,Electricity,63071321.975999996
61,2020,reg1,Hydro_PP_2,Electricity,63071321.975999996
62,2021,reg1,Hydro_PP_2,Electricity,63071321.975999996
63,2022,reg1,Hydro_PP_2,Electricity,63071321.975999996
64,2023,reg1,Hydro_PP_2,Electricity,63071321.975999996
65,2024,reg1,Hydro_PP_2,Electricity,63071321.975999996
66,2025,reg1,Hydro_PP_2,Electricity,63071321.975999996
67,2026,reg1,Hydro_PP_2,Electricity,63071321.975999996
68,2027,reg1,Hydro_PP_2,Electricity,63071321.975999996
69,2028,reg1,Hydro_PP_2,Electricity,63071321.975999996
70,2029,reg1,Hydro_PP_2,Electricity,63071321.975999996
71,2030,reg1,Hydro_PP_2,Electricity,63071321.975999996
72,2019,reg1,Hydro_PP_3,Electricity,246410486.83007997
73,2020,reg1,Hydro_PP_3,Electricity,246410486.83007997
74,2021,reg1,Hydro_PP_3,Electricity,246410486.83007997
75,2022,reg1,Hydro_PP_3,Electricity,246410486.83007997
76,2023,reg1,Hydro_PP_3,Electricity,246410486.83007997
77,2024,reg1,Hydro_PP_3,Electricity,246410486.83007997
78,2025,reg1,Hydro_PP_3,Electricity,246410486.83007997
79,2026,reg1,Hydro_PP_3,Electricity,246410486.83007997
80,2027,reg1,Hydro_PP_3,Electricity,246410486.83007997
81,2028,reg1,Hydro_PP_3,Electricity,246410486.83007997
82,2029,reg1,Hydro_PP_3,Electricity,246410486.83007997
83,2030,reg1,Hydro_PP_3,Electricity,246410486.83007997
84,2019,reg1,Hydro_PP_5,Electricity,3566561149.5624
85,2020,reg1,Hydro_PP_5,Electricity,3566561149.5624
86,2021,reg1,Hydro_PP_5,Electricity,3566561149.5624
87,2022,reg1,Hydro_PP_5,Electricity,3566561149.5624
88,2023,reg1,Hydro_PP_5,Electricity,3566561149.5624
89,2024,reg1,Hydro_PP_5,Electricity,3566561149.5624
90,2025,reg1,Hydro_PP_5,Electricity,3566561149.5624
91,2026,reg1,Hydro_PP_5,Electricity,3566561149.5624
92,2027,reg1,Hydro_PP_5,Electricity,3566561149.5624
93,2028,reg1,Hydro_PP_5,Electricity,3566561149.5624
94,2029,reg1,Hydro_PP_5,Electricity,3566561149.5624
95,2030,reg1,Hydro_PP_5,Electricity,3566561149.5624
96,2019,reg1,Hydro_PP_6,Electricity,1671854411.0016003
