,Years,Region,Carrier,Value
0,Y0,reg1,Final_electricity,0.0
1,Y1,reg1,Final_electricity,0.0
2,Y2,reg1,Final_electricity,0.0
3,Y3,reg1,Final_electricity,3652042.2589948773
4,Y4,reg1,Final_electricity,0.0
5,Y5,reg1,Final_electricity,0.0
6,Y6,reg1,Final_electricity,0.0
7,Y7,reg1,Final_electricity,0.0
8,Y8,reg1,Final_electricity,0.0
9,Y9,reg1,Final_electricity,0.0
10,Y10,reg1,Final_electricity,208657813.53411257
11,Y11,reg1,Final_electricity,2614994462.7518454
12,Y0,reg2,Final_electricity,1644030855.868476
13,Y1,reg2,Final_electricity,1821793851.642704
14,Y2,reg2,Final_electricity,1921650656.642704
15,Y3,reg2,Final_electricity,1774361252.923264
16,Y4,reg2,Final_electricity,1205880322.7131357
17,Y5,reg2,Final_electricity,1305224082.2479005
18,Y6,reg2,Final_electricity,1116430458.9618843
19,Y7,reg2,Final_electricity,1530880016.9224467
20,Y8,reg2,Final_electricity,1984802404.8819718
21,Y9,reg2,Final_electricity,2292837122.469264
22,Y10,reg2,Final_electricity,2529837122.469264
23,Y11,reg2,Final_electricity,2560274772.82656
24,Y0,reg3,Final_electricity,701816395.0833906
25,Y1,reg3,Final_electricity,1317582367.9087977
26,Y2,reg3,Final_electricity,1900687021.942123
27,Y3,reg3,Final_electricity,2332441620.0491405
28,Y4,reg3,Final_electricity,434135652.1349303
29,Y5,reg3,Final_electricity,617389831.8793657
30,Y6,reg3,Final_electricity,270647198.4183161
31,Y7,reg3,Final_electricity,556448390.474078
32,Y8,reg3,Final_electricity,1063837495.3709441
33,Y9,reg3,Final_electricity,3041732780.5806923
34,Y10,reg3,Final_electricity,5321453517.3114395
35,Y11,reg3,Final_electricity,6215141500.043489
