,Year,Region,Technology,Carrier,Value
0,2019,reg1,Coal_PP,Coal,1065404553.081763
1,2020,reg1,Coal_PP,Coal,1065404553.081763
2,2021,reg1,Coal_PP,Coal,1065404553.081763
3,2022,reg1,Coal_PP,Coal,1065404553.081763
4,2023,reg1,Coal_PP,Coal,1065404553.081763
5,2024,reg1,Coal_PP,Coal,620366676.9623668
6,2025,reg1,Coal_PP,Coal,263067831.90272117
7,2026,reg1,Coal_PP,Coal,297551734.4347963
8,2027,reg1,Coal_PP,Coal,306667421.0039189
9,2028,reg1,Coal_PP,Coal,332581896.64575374
10,2029,reg1,Coal_PP,Coal,362511839.46836627
11,2030,reg1,Coal_PP,Coal,31623967.15794226
12,2019,reg1,Diesel_PP,Diesel,1460475.2602774785
13,2020,reg1,Diesel_PP,Diesel,1460475.2602774785
14,2021,reg1,Diesel_PP,Diesel,1460475.2602774785
15,2022,reg1,Diesel_PP,Diesel,1460475.2602774785
16,2023,reg1,Diesel_PP,Diesel,1460475.2602774785
17,2024,reg1,Diesel_PP,Diesel,237683.5639390236
18,2025,reg1,Diesel_PP,Diesel,60853.13584489494
19,2026,reg1,Diesel_PP,Diesel,60853.13584489494
20,2027,reg1,Diesel_PP,Diesel,60853.13584489494
21,2028,reg1,Diesel_PP,Diesel,60853.13584489494
22,2029,reg1,Diesel_PP,Diesel,60853.13584489494
23,2030,reg1,Diesel_PP,Diesel,253037.71738956607
24,2019,reg1,HFO_PP,Oil,1451264.3705117432
25,2020,reg1,HFO_PP,Oil,1451264.3705117432
26,2021,reg1,HFO_PP,Oil,1451264.3705117432
27,2022,reg1,HFO_PP,Oil,1451264.3705117432
28,2023,reg1,HFO_PP,Oil,1451264.3705117432
29,2024,reg1,HFO_PP,Oil,301692.87640199845
30,2025,reg1,HFO_PP,Oil,146121.79489667568
31,2026,reg1,HFO_PP,Oil,172434.46586305357
32,2027,reg1,HFO_PP,Oil,176214.94914838884
33,2028,reg1,HFO_PP,Oil,161908.63806493935
34,2029,reg1,HFO_PP,Oil,213644.21604668783
35,2030,reg1,HFO_PP,Oil,181408.0463139679
36,2019,reg1,Bio_PP,Biofuel,9733325.546672896
37,2020,reg1,Bio_PP,Biofuel,9733325.546672896
38,2021,reg1,Bio_PP,Biofuel,9733325.546672896
39,2022,reg1,Bio_PP,Biofuel,9733325.546672896
40,2023,reg1,Bio_PP,Biofuel,9733325.546672896
41,2024,reg1,Bio_PP,Biofuel,9733325.546672896
42,2025,reg1,Bio_PP,Biofuel,4055552.311113707
43,2026,reg1,Bio_PP,Biofuel,4461107.542225078
44,2027,reg1,Bio_PP,Biofuel,5272218.004447819
45,2028,reg1,Bio_PP,Biofuel,5577938.410548512
46,2029,reg1,Bio_PP,Biofuel,5272218.004447819
47,2030,reg1,Bio_PP,Biofuel,0.0
48,2019,reg1,Elec_distribution,Electricity,11010771501.623718
49,2020,reg1,Elec_distribution,Electricity,11010771501.623718
50,2021,reg1,Elec_distribution,Electricity,11010771501.623718
51,2022,reg1,Elec_distribution,Electricity,11345771263.023918
52,2023,reg1,Elec_distribution,Electricity,14743962168.120186
53,2024,reg1,Elec_distribution,Electricity,15339861397.154661
54,2025,reg1,Elec_distribution,Electricity,15883818036.452858
55,2026,reg1,Elec_distribution,Electricity,16185488772.285597
56,2027,reg1,Elec_distribution,Electricity,16190977707.44035
57,2028,reg1,Elec_distribution,Electricity,16805294463.302252
58,2029,reg1,Elec_distribution,Electricity,16745408202.900063
59,2030,reg1,Elec_distribution,Electricity,16656954795.880672
60,2019,reg2,Diesel_PP,Diesel,9082.98389987167
61,2020,reg2,Diesel_PP,Diesel,9082.98389987167
62,2021,reg2,Diesel_PP,Diesel,9082.98389987167
63,2022,reg2,Diesel_PP,Diesel,9082.98389987167
64,2023,reg2,Diesel_PP,Diesel,9082.98389987167
65,2024,reg2,Diesel_PP,Diesel,1513.8306499786115
66,2025,reg2,Diesel_PP,Diesel,378.4576624946529
67,2026,reg2,Diesel_PP,Diesel,756.9153249893058
68,2027,reg2,Diesel_PP,Diesel,756.9153249893058
69,2028,reg2,Diesel_PP,Diesel,378.4576624946529
70,2029,reg2,Diesel_PP,Diesel,1135.3729874839587
71,2030,reg2,Diesel_PP,Diesel,0.0
72,2019,reg2,Elec_distribution,Electricity,101064370.35729599
73,2020,reg2,Elec_distribution,Electricity,101064370.35729599
74,2021,reg2,Elec_distribution,Electricity,101064370.35729599
75,2022,reg2,Elec_distribution,Electricity,373778629.18082535
76,2023,reg2,Elec_distribution,Electricity,889162877.4888253
77,2024,reg2,Elec_distribution,Electricity,2694388465.724119
78,2025,reg2,Elec_distribution,Electricity,2659483422.47997
79,2026,reg2,Elec_distribution,Electricity,2779002718.0516973
80,2027,reg2,Elec_distribution,Electricity,2961767855.3732615
81,2028,reg2,Elec_distribution,Electricity,3293841479.3642015
82,2029,reg2,Elec_distribution,Electricity,3372516462.4209027
83,2030,reg2,Elec_distribution,Electricity,4017980793.5030737
84,2019,reg3,Diesel_PP,Diesel,39588.099639063315
85,2020,reg3,Diesel_PP,Diesel,39588.099639063315
86,2021,reg3,Diesel_PP,Diesel,39588.099639063315
87,2022,reg3,Diesel_PP,Diesel,39588.099639063315
88,2023,reg3,Diesel_PP,Diesel,39588.099639063315
89,2024,reg3,Diesel_PP,Diesel,6598.016606510552
90,2025,reg3,Diesel_PP,Diesel,1649.504151627638
91,2026,reg3,Diesel_PP,Diesel,1649.504151627638
