,Year,Region,Technology,Carrier,Value
0,2019,reg1,Coal_supply,Coal,1065404553.081763
1,2020,reg1,Coal_supply,Coal,577652740.2912251
2,2021,reg1,Coal_supply,Coal,568152965.1277971
3,2022,reg1,Coal_supply,Coal,681119890.8200544
4,2023,reg1,Coal_supply,Coal,616153881.9245648
5,2024,reg1,Coal_supply,Coal,281273184.3036956
6,2025,reg1,Coal_supply,Coal,369023403.4748621
7,2026,reg1,Coal_supply,Coal,326729906.4285944
8,2027,reg1,Coal_supply,Coal,135293141.7838131
9,2028,reg1,Coal_supply,Coal,229565078.46815252
10,2029,reg1,Coal_supply,Coal,405121296.9331142
11,2030,reg1,Coal_supply,Coal,44696334.06450422
12,2019,reg1,Diesel_supply,Diesel,1460475.2602774785
13,2020,reg1,Diesel_supply,Diesel,60853.13584489494
14,2021,reg1,Diesel_supply,Diesel,36350.364573262865
15,2022,reg1,Diesel_supply,Diesel,74017.49457797353
16,2023,reg1,Diesel_supply,Diesel,36242.1197145767
17,2024,reg1,Diesel_supply,Diesel,27818.95202926519
18,2025,reg1,Diesel_supply,Diesel,72974.64072141527
19,2026,reg1,Diesel_supply,Diesel,63159.7631982091
20,2027,reg1,Diesel_supply,Diesel,0.0
21,2028,reg1,Diesel_supply,Diesel,37463.940518197334
22,2029,reg1,Diesel_supply,Diesel,0.0
23,2030,reg1,Diesel_supply,Diesel,15729.765260043925
24,2019,reg1,Oil_supply,Oil,1451264.3705117435
25,2020,reg1,Oil_supply,Oil,184197.69027691087
26,2021,reg1,Oil_supply,Oil,158943.2385941384
27,2022,reg1,Oil_supply,Oil,301077.66831155936
28,2023,reg1,Oil_supply,Oil,230881.59343224592
29,2024,reg1,Oil_supply,Oil,119572.5291926683
30,2025,reg1,Oil_supply,Oil,232083.43122228578
31,2026,reg1,Oil_supply,Oil,221530.43804690865
32,2027,reg1,Oil_supply,Oil,4446.762838398406
33,2028,reg1,Oil_supply,Oil,114793.29295037591
34,2029,reg1,Oil_supply,Oil,42167.40308324955
35,2030,reg1,Oil_supply,Oil,292173.66888353275
36,2019,reg1,Biofuel_supply,Biofuel,9733325.546672897
37,2020,reg1,Biofuel_supply,Biofuel,9733325.546672897
38,2021,reg1,Biofuel_supply,Biofuel,9733325.546672897
39,2022,reg1,Biofuel_supply,Biofuel,9733325.546672897
40,2023,reg1,Biofuel_supply,Biofuel,9733325.546672897
41,2024,reg1,Biofuel_supply,Biofuel,9733325.546672897
42,2025,reg1,Biofuel_supply,Biofuel,9733325.546672897
43,2026,reg1,Biofuel_supply,Biofuel,9733325.546672897
44,2027,reg1,Biofuel_supply,Biofuel,6894438.928893303
45,2028,reg1,Biofuel_supply,Biofuel,8532564.68663795
46,2029,reg1,Biofuel_supply,Biofuel,7081807.692512808
47,2030,reg1,Biofuel_supply,Biofuel,0.0
48,2019,reg1,Hydro_PP_1,Electricity,614326465.5695999
49,2020,reg1,Hydro_PP_1,Electricity,614326465.5695999
50,2021,reg1,Hydro_PP_1,Electricity,614326465.5695999
51,2022,reg1,Hydro_PP_1,Electricity,614326465.5695999
52,2023,reg1,Hydro_PP_1,Electricity,614326465.5695999
53,2024,reg1,Hydro_PP_1,Electricity,614326465.5695999
54,2025,reg1,Hydro_PP_1,Electricity,614326465.5695999
55,2026,reg1,Hydro_PP_1,Electricity,614326465.5695999
56,2027,reg1,Hydro_PP_1,Electricity,614326465.5695999
57,2028,reg1,Hydro_PP_1,Electricity,614326465.5695999
58,2029,reg1,Hydro_PP_1,Electricity,614326465.5695999
59,2030,reg1,Hydro_PP_1,Electricity,614326465.5695999
60,2019,reg1,Hydro_PP_2,Electricity,63071321.975999996
61,2020,reg1,Hydro_PP_2,Electricity,63071321.975999996
62,2021,reg1,Hydro_PP_2,Electricity,63071321.975999996
63,2022,reg1,Hydro_PP_2,Electricity,63071321.975999996
64,2023,reg1,Hydro_PP_2,Electricity,63071321.975999996
65,2024,reg1,Hydro_PP_2,Electricity,63071321.975999996
66,2025,reg1,Hydro_PP_2,Electricity,63071321.975999996
67,2026,reg1,Hydro_PP_2,Electricity,63071321.975999996
68,2027,reg1,Hydro_PP_2,Electricity,63071321.975999996
69,2028,reg1,Hydro_PP_2,Electricity,63071321.975999996
70,2029,reg1,Hydro_PP_2,Electricity,63071321.975999996
71,2030,reg1,Hydro_PP_2,Electricity,63071321.975999996
72,2019,reg1,Hydro_PP_3,Electricity,246410486.83007997
73,2020,reg1,Hydro_PP_3,Electricity,246410486.83007997
74,2021,reg1,Hydro_PP_3,Electricity,246410486.83007997
75,2022,reg1,Hydro_PP_3,Electricity,246410486.83007997
76,2023,reg1,Hydro_PP_3,Electricity,246410486.83007997
77,2024,reg1,Hydro_PP_3,Electricity,246410486.83007997
78,2025,reg1,Hydro_PP_3,Electricity,246410486.83007997
79,2026,reg1,Hydro_PP_3,Electricity,246410486.83007997
80,2027,reg1,Hydro_PP_3,Electricity,246410486.83007997
81,2028,reg1,Hydro_PP_3,Electricity,246410486.83007997
82,2029,reg1,Hydro_PP_3,Electricity,246410486.83007997
83,2030,reg1,Hydro_PP_3,Electricity,246410486.83007997
84,2019,reg1,Hydro_PP_5,Electricity,3566561149.5624
85,2020,reg1,Hydro_PP_5,Electricity,3566561149.5624
86,2021,reg1,Hydro_PP_5,Electricity,3566561149.5624
87,2022,reg1,Hydro_PP_5,Electricity,3566561149.5624
88,2023,reg1,Hydro_PP_5,Electricity,3566561149.5624
89,2024,reg1,Hydro_PP_5,Electricity,3566561149.5624
90,2025,reg1,Hydro_PP_5,Electricity,3566561149.5624
91,2026,reg1,Hydro_PP_5,Electricity,3566561149.5624
92,2027,reg1,Hydro_PP_5,Electricity,3566561149.5624
93,2028,reg1,Hydro_PP_5,Electricity,3566561149.5624
94,2029,reg1,Hydro_PP_5,Electricity,3566561149.5624
95,2030,reg1,Hydro_PP_5,Electricity,3566561149.5624
96,2019,reg1,Hydro_PP_6,Electricity,1671854411.0016003
97,2020,reg1,Hydro_PP_6,Electricity,1671854411.0016003
98,2021,reg1,Hydro_PP_6,Electricity,1671854411.0016003
99,2022,reg1,Hydro_PP_6,Electricity,1671854411.0016003
100,2023,reg1,Hydro_PP_6,Electricity,1671854411.0016003
101,2024,reg1,Hydro_PP_6,Electricity,1671854411.0016003
102,2025,reg1,Hydro_PP_6,Electricity,1671854411.0016003
103,2026,reg1,Hydro_PP_6,Electricity,1671854411.0016003
104,2027,reg1,Hydro_PP_6,Electricity,1671854411.0016003
105,2028,reg1,Hydro_PP_6,Electricity,1671854411.0016003
106,2029,reg1,Hydro_PP_6,Electricity,1671854411.0016003
107,2030,reg1,Hydro_PP_6,Electricity,1671854411.0016003
108,2019,reg1,Hydro_PP_7,Electricity,41003058.161520004
109,2020,reg1,Hydro_PP_7,Electricity,41003058.161520004
110,2021,reg1,Hydro_PP_7,Electricity,41003058.161520004
111,2022,reg1,Hydro_PP_7,Electricity,41003058.161520004
112,2023,reg1,Hydro_PP_7,Electricity,41003058.161520004
113,2024,reg1,Hydro_PP_7,Electricity,41003058.161520004
114,2025,reg1,Hydro_PP_7,Electricity,41003058.161520004
115,2026,reg1,Hydro_PP_7,Electricity,41003058.161520004
116,2027,reg1,Hydro_PP_7,Electricity,41003058.161520004
117,2028,reg1,Hydro_PP_7,Electricity,41003058.161520004
118,2029,reg1,Hydro_PP_7,Electricity,41003058.161520004
119,2030,reg1,Hydro_PP_7,Electricity,41003058.161520004
120,2019,reg1,Hydro_PP_9,Electricity,69095900.52252
121,2020,reg1,Hydro_PP_9,Electricity,69095900.52252
122,2021,reg1,Hydro_PP_9,Electricity,69095900.52252
123,2022,reg1,Hydro_PP_9,Electricity,69095900.52252
124,2023,reg1,Hydro_PP_9,Electricity,69095900.52252
125,2024,reg1,Hydro_PP_9,Electricity,69095900.52252
126,2025,reg1,Hydro_PP_9,Electricity,69095900.52252
127,2026,reg1,Hydro_PP_9,Electricity,69095900.52252
128,2027,reg1,Hydro_PP_9,Electricity,69095900.52252
129,2028,reg1,Hydro_PP_9,Electricity,69095900.52252
130,2029,reg1,Hydro_PP_9,Electricity,69095900.52252
131,2030,reg1,Hydro_PP_9,Electricity,69095900.52252
132,2019,reg1,Hydro_PP_10,Electricity,250969620.0
133,2020,reg1,Hydro_PP_10,Electricity,250969620.0
134,2021,reg1,Hydro_PP_10,Electricity,250969620.0
135,2022,reg1,Hydro_PP_10,Electricity,250969620.0
136,2023,reg1,Hydro_PP_10,Electricity,250969620.0
137,2024,reg1,Hydro_PP_10,Electricity,250969620.0
138,2025,reg1,Hydro_PP_10,Electricity,250969620.0
139,2026,reg1,Hydro_PP_10,Electricity,250969620.0
140,2027,reg1,Hydro_PP_10,Electricity,250969620.0
141,2028,reg1,Hydro_PP_10,Electricity,250969620.0
142,2029,reg1,Hydro_PP_10,Electricity,250969620.0
143,2030,reg1,Hydro_PP_10,Electricity,250969620.0
144,2019,reg1,PV_PP,Electricity,158111887.99999994
145,2020,reg1,PV_PP,Electricity,158111887.99999994
146,2021,reg1,PV_PP,Electricity,158111887.99999994
147,2022,reg1,PV_PP,Electricity,158111887.99999994
148,2023,reg1,PV_PP,Electricity,158111887.99999994
149,2024,reg1,PV_PP,Electricity,158111887.99999994
150,2025,reg1,PV_PP,Electricity,158111887.99999994
151,2026,reg1,PV_PP,Electricity,158111887.99999994
152,2027,reg1,PV_PP,Electricity,158111887.99999994
153,2028,reg1,PV_PP,Electricity,158111887.99999994
154,2029,reg1,PV_PP,Electricity,158111887.99999994
155,2030,reg1,PV_PP,Electricity,158111887.99999994
156,2019,reg1,Commited_hydro_PP,Electricity,0.0
157,2020,reg1,Commited_hydro_PP,Electricity,0.0
158,2021,reg1,Commited_hydro_PP,Electricity,0.0
159,2022,reg1,Commited_hydro_PP,Electricity,0.0
160,2023,reg1,Commited_hydro_PP,Electricity,0.0
161,2024,reg1,Commited_hydro_PP,Electricity,564259640.8107984
162,2025,reg1,Commited_hydro_PP,Electricity,564259640.8107984
163,2026,reg1,Commited_hydro_PP,Electricity,1014703795.8513521
164,2027,reg1,Commited_hydro_PP,Electricity,3525969738.766141
165,2028,reg1,Commited_hydro_PP,Electricity,3525969738.766141
166,2029,reg1,Commited_hydro_PP,Electricity,5305346209.4290085
167,2030,reg1,Commited_hydro_PP,Electricity,5692013937.759441
168,2019,reg1,Commited_PV_PP,Electricity,0.0
169,2020,reg1,Commited_PV_PP,Electricity,0.0
170,2021,reg1,Commited_PV_PP,Electricity,0.0
171,2022,reg1,Commited_PV_PP,Electricity,0.0
172,2023,reg1,Commited_PV_PP,Electricity,70421493.33156334
173,2024,reg1,Commited_PV_PP,Electricity,563371946.6525066
174,2025,reg1,Commited_PV_PP,Electricity,563371946.6525066
175,2026,reg1,Commited_PV_PP,Electricity,563371946.6525066
176,2027,reg1,Commited_PV_PP,Electricity,563371946.6525066
177,2028,reg1,Commited_PV_PP,Electricity,563371946.6525066
178,2029,reg1,Commited_PV_PP,Electricity,563371946.6525066
179,2030,reg1,Commited_PV_PP,Electricity,563371946.6525066
180,2019,reg1,Commited_wind_PP,Electricity,0.0
181,2020,reg1,Commited_wind_PP,Electricity,0.0
182,2021,reg1,Commited_wind_PP,Electricity,0.0
183,2022,reg1,Commited_wind_PP,Electricity,0.0
184,2023,reg1,Commited_wind_PP,Electricity,334999761.4002
185,2024,reg1,Commited_wind_PP,Electricity,334999761.4002
186,2025,reg1,Commited_wind_PP,Electricity,334999761.4002
187,2026,reg1,Commited_wind_PP,Electricity,334999761.4002
188,2027,reg1,Commited_wind_PP,Electricity,334999761.4002
189,2028,reg1,Commited_wind_PP,Electricity,334999761.4002
190,2029,reg1,Commited_wind_PP,Electricity,334999761.4002
191,2030,reg1,Commited_wind_PP,Electricity,334999761.4002
192,2019,reg1,Commited_geo_PP,Electricity,0.0
193,2020,reg1,Commited_geo_PP,Electricity,0.0
194,2021,reg1,Commited_geo_PP,Electricity,0.0
195,2022,reg1,Commited_geo_PP,Electricity,0.0
196,2023,reg1,Commited_geo_PP,Electricity,87600000.0
197,2024,reg1,Commited_geo_PP,Electricity,87600000.0
198,2025,reg1,Commited_geo_PP,Electricity,87600000.0
199,2026,reg1,Commited_geo_PP,Electricity,87600000.0
200,2027,reg1,Commited_geo_PP,Electricity,87600000.0
201,2028,reg1,Commited_geo_PP,Electricity,87600000.0
202,2029,reg1,Commited_geo_PP,Electricity,87600000.0
203,2030,reg1,Commited_geo_PP,Electricity,87600000.0
204,2019,reg1,Coal_PP,Electricity,2628000000.0
205,2020,reg1,Coal_PP,Electricity,1424877899.2864294
206,2021,reg1,Coal_PP,Electricity,1401445101.8037505
207,2022,reg1,Coal_PP,Electricity,1680097074.7660522
208,2023,reg1,Coal_PP,Electricity,1519847457.9575868
