,Year,Region,Technology,Carrier,Value
0,2019,reg1,Coal_PP,Coal,1065404553.081763
1,2020,reg1,Coal_PP,Coal,577652740.2912251
2,2021,reg1,Coal_PP,Coal,568152965.1277971
3,2022,reg1,Coal_PP,Coal,681119890.8200544
4,2023,reg1,Coal_PP,Coal,616153881.9245648
5,2024,reg1,Coal_PP,Coal,281273184.3036956
6,2025,reg1,Coal_PP,Coal,369023403.4748621
7,2026,reg1,Coal_PP,Coal,326729906.4285944
8,2027,reg1,Coal_PP,Coal,135293141.7838131
9,2028,reg1,Coal_PP,Coal,229565078.46815252
10,2029,reg1,Coal_PP,Coal,405121296.9331142
11,2030,reg1,Coal_PP,Coal,44696334.06450422
12,2019,reg1,Diesel_PP,Diesel,1460475.2602774785
13,2020,reg1,Diesel_PP,Diesel,60853.13584489494
14,2021,reg1,Diesel_PP,Diesel,36350.364573262865
15,2022,reg1,Diesel_PP,Diesel,74017.49457797353
16,2023,reg1,Diesel_PP,Diesel,36242.1197145767
17,2024,reg1,Diesel_PP,Diesel,27818.95202926519
18,2025,reg1,Diesel_PP,Diesel,72974.64072141527
19,2026,reg1,Diesel_PP,Diesel,63159.7631982091
20,2027,reg1,Diesel_PP,Diesel,0.0
21,2028,reg1,Diesel_PP,Diesel,37463.940518197334
22,2029,reg1,Diesel_PP,Diesel,0.0
23,2030,reg1,Diesel_PP,Diesel,15729.765260043925
24,2019,reg1,HFO_PP,Oil,1451264.3705117432
25,2020,reg1,HFO_PP,Oil,184197.69027691087
26,2021,reg1,HFO_PP,Oil,158943.2385941384
27,2022,reg1,HFO_PP,Oil,301077.66831155936
28,2023,reg1,HFO_PP,Oil,230881.59343224592
29,2024,reg1,HFO_PP,Oil,119572.5291926683
30,2025,reg1,HFO_PP,Oil,232083.43122228578
31,2026,reg1,HFO_PP,Oil,221530.4380469086
32,2027,reg1,HFO_PP,Oil,4446.762838398406
33,2028,reg1,HFO_PP,Oil,114793.29295037591
34,2029,reg1,HFO_PP,Oil,42167.40308324955
35,2030,reg1,HFO_PP,Oil,292173.6688835327
36,2019,reg1,Bio_PP,Biofuel,9733325.546672896
37,2020,reg1,Bio_PP,Biofuel,9733325.546672896
38,2021,reg1,Bio_PP,Biofuel,9733325.546672896
39,2022,reg1,Bio_PP,Biofuel,9733325.546672896
40,2023,reg1,Bio_PP,Biofuel,9733325.546672896
41,2024,reg1,Bio_PP,Biofuel,9733325.546672896
42,2025,reg1,Bio_PP,Biofuel,9733325.546672896
43,2026,reg1,Bio_PP,Biofuel,9733325.546672896
44,2027,reg1,Bio_PP,Biofuel,6894438.928893302
