,Year,Region,Technology,Carrier,Value
0,2019,reg1,Coal_supply,Coal,1065404553.081763
1,2020,reg1,Coal_supply,Coal,276678251.09925985
2,2021,reg1,Coal_supply,Coal,155597201.0982498
3,2022,reg1,Coal_supply,Coal,170516494.2662241
4,2023,reg1,Coal_supply,Coal,187286750.64578745
5,2024,reg1,Coal_supply,Coal,169283416.78239322
6,2025,reg1,Coal_supply,Coal,170405501.28353232
7,2026,reg1,Coal_supply,Coal,142009375.81850278
8,2027,reg1,Coal_supply,Coal,93141782.42989238
9,2028,reg1,Coal_supply,Coal,27488023.609174475
10,2029,reg1,Coal_supply,Coal,0.0
11,2030,reg1,Coal_supply,Coal,0.0
12,2019,reg1,Diesel_supply,Diesel,1509146.3438164135
13,2020,reg1,Diesel_supply,Diesel,35727.81566213628
14,2021,reg1,Diesel_supply,Diesel,0.0
15,2022,reg1,Diesel_supply,Diesel,67308.67733409039
16,2023,reg1,Diesel_supply,Diesel,62881.09765901723
17,2024,reg1,Diesel_supply,Diesel,79049.02476385386
18,2025,reg1,Diesel_supply,Diesel,62881.09765901723
19,2026,reg1,Diesel_supply,Diesel,53281.87705357951
20,2027,reg1,Diesel_supply,Diesel,10711.065919659986
21,2028,reg1,Diesel_supply,Diesel,64266.395517959914
22,2029,reg1,Diesel_supply,Diesel,64266.395517959914
23,2030,reg1,Diesel_supply,Diesel,28681.31654561452
24,2019,reg1,Oil_supply,Oil,1451264.3705117435
25,2020,reg1,Oil_supply,Oil,1451264.3705117435
26,2021,reg1,Oil_supply,Oil,1451264.3705117435
27,2022,reg1,Oil_supply,Oil,1451264.3705117435
28,2023,reg1,Oil_supply,Oil,1451264.3705117435
29,2024,reg1,Oil_supply,Oil,1451264.3705117435
30,2025,reg1,Oil_supply,Oil,1451264.3705117435
31,2026,reg1,Oil_supply,Oil,1360252.530968227
32,2027,reg1,Oil_supply,Oil,1067803.8962344625
33,2028,reg1,Oil_supply,Oil,967509.5803411623
34,2029,reg1,Oil_supply,Oil,665396.6173045206
35,2030,reg1,Oil_supply,Oil,72850.56842335826
36,2019,reg1,Biofuel_supply,Biofuel,9733325.546672897
37,2020,reg1,Biofuel_supply,Biofuel,1395350424.6559658
38,2021,reg1,Biofuel_supply,Biofuel,1462040845.9452496
39,2022,reg1,Biofuel_supply,Biofuel,1412313699.2111712
40,2023,reg1,Biofuel_supply,Biofuel,1381267719.7570572
41,2024,reg1,Biofuel_supply,Biofuel,1277211755.9112616
42,2025,reg1,Biofuel_supply,Biofuel,1165949395.3267298
43,2026,reg1,Biofuel_supply,Biofuel,993232732.0106919
44,2027,reg1,Biofuel_supply,Biofuel,812108509.4835367
45,2028,reg1,Biofuel_supply,Biofuel,563808062.4837825
46,2029,reg1,Biofuel_supply,Biofuel,307676680.4986145
47,2030,reg1,Biofuel_supply,Biofuel,0.0
48,2019,reg1,Hydro_PP_1,Electricity,614326465.5695999
49,2020,reg1,Hydro_PP_1,Electricity,614326465.5695999
50,2021,reg1,Hydro_PP_1,Electricity,614326465.5695999
51,2022,reg1,Hydro_PP_1,Electricity,614326465.5695999
52,2023,reg1,Hydro_PP_1,Electricity,614326465.5695999
53,2024,reg1,Hydro_PP_1,Electricity,614326465.5695999
54,2025,reg1,Hydro_PP_1,Electricity,614326465.5695999
55,2026,reg1,Hydro_PP_1,Electricity,614326465.5695999
56,2027,reg1,Hydro_PP_1,Electricity,614326465.5695999
57,2028,reg1,Hydro_PP_1,Electricity,588729529.5041999
58,2029,reg1,Hydro_PP_1,Electricity,460744849.17719984
59,2030,reg1,Hydro_PP_1,Electricity,187014201.90478402
60,2019,reg1,Hydro_PP_2,Electricity,63071321.975999996
61,2020,reg1,Hydro_PP_2,Electricity,63071321.975999996
62,2021,reg1,Hydro_PP_2,Electricity,63071321.975999996
63,2022,reg1,Hydro_PP_2,Electricity,63071321.975999996
64,2023,reg1,Hydro_PP_2,Electricity,63071321.975999996
65,2024,reg1,Hydro_PP_2,Electricity,63071321.975999996
66,2025,reg1,Hydro_PP_2,Electricity,63071321.975999996
67,2026,reg1,Hydro_PP_2,Electricity,63071321.975999996
68,2027,reg1,Hydro_PP_2,Electricity,63071321.975999996
69,2028,reg1,Hydro_PP_2,Electricity,63071321.975999996
70,2029,reg1,Hydro_PP_2,Electricity,60443350.227
71,2030,reg1,Hydro_PP_2,Electricity,34163632.737
72,2019,reg1,Hydro_PP_3,Electricity,246410486.83007997
73,2020,reg1,Hydro_PP_3,Electricity,246410486.83007997
74,2021,reg1,Hydro_PP_3,Electricity,246410486.83007997
75,2022,reg1,Hydro_PP_3,Electricity,246410486.83007997
76,2023,reg1,Hydro_PP_3,Electricity,246410486.83007997
77,2024,reg1,Hydro_PP_3,Electricity,246410486.83007997
78,2025,reg1,Hydro_PP_3,Electricity,246410486.83007997
79,2026,reg1,Hydro_PP_3,Electricity,246410486.83007997
80,2027,reg1,Hydro_PP_3,Electricity,246410486.83007997
81,2028,reg1,Hydro_PP_3,Electricity,246410486.83007997
82,2029,reg1,Hydro_PP_3,Electricity,236143383.21216
83,2030,reg1,Hydro_PP_3,Electricity,134429619.63074392
84,2019,reg1,Hydro_PP_4,Electricity,57673494.072
85,2020,reg1,Hydro_PP_4,Electricity,57673494.072
86,2021,reg1,Hydro_PP_4,Electricity,57673494.072
87,2022,reg1,Hydro_PP_4,Electricity,57673494.072
88,2023,reg1,Hydro_PP_4,Electricity,57673494.072
89,2024,reg1,Hydro_PP_4,Electricity,57673494.072
90,2025,reg1,Hydro_PP_4,Electricity,57673494.072
91,2026,reg1,Hydro_PP_4,Electricity,57673494.072
92,2027,reg1,Hydro_PP_4,Electricity,57673494.072
93,2028,reg1,Hydro_PP_4,Electricity,57673494.072
94,2029,reg1,Hydro_PP_4,Electricity,55270431.819
95,2030,reg1,Hydro_PP_4,Electricity,31239809.288999997
96,2019,reg1,Hydro_PP_5,Electricity,3566561149.5624
97,2020,reg1,Hydro_PP_5,Electricity,3566561149.5624
98,2021,reg1,Hydro_PP_5,Electricity,3566561149.5624
99,2022,reg1,Hydro_PP_5,Electricity,3566561149.5624
100,2023,reg1,Hydro_PP_5,Electricity,3566561149.5624
101,2024,reg1,Hydro_PP_5,Electricity,3566561149.5624
102,2025,reg1,Hydro_PP_5,Electricity,3566561149.5624
103,2026,reg1,Hydro_PP_5,Electricity,3566561149.5624
104,2027,reg1,Hydro_PP_5,Electricity,3566561149.5624
