,Year,Region,Technology,Carrier,Value
0,2019,reg1,Coal_PP,Coal,1065404553.081763
1,2020,reg1,Coal_PP,Coal,276678251.09925985
2,2021,reg1,Coal_PP,Coal,155597201.0982498
3,2022,reg1,Coal_PP,Coal,170516494.2662241
4,2023,reg1,Coal_PP,Coal,187286750.64578745
5,2024,reg1,Coal_PP,Coal,169283416.78239322
6,2025,reg1,Coal_PP,Coal,170405501.28353232
7,2026,reg1,Coal_PP,Coal,142009375.81850278
8,2027,reg1,Coal_PP,Coal,93141782.42989238
9,2028,reg1,Coal_PP,Coal,27488023.609174475
10,2029,reg1,Coal_PP,Coal,0.0
11,2030,reg1,Coal_PP,Coal,0.0
12,2019,reg1,Diesel_PP,Diesel,1509146.3438164135
13,2020,reg1,Diesel_PP,Diesel,35727.81566213628
14,2021,reg1,Diesel_PP,Diesel,0.0
15,2022,reg1,Diesel_PP,Diesel,35175.47957511043
16,2023,reg1,Diesel_PP,Diesel,62881.097659017236
17,2024,reg1,Diesel_PP,Diesel,57626.89292453388
18,2025,reg1,Diesel_PP,Diesel,62881.097659017236
19,2026,reg1,Diesel_PP,Diesel,42570.811133919524
20,2027,reg1,Diesel_PP,Diesel,0.0
21,2028,reg1,Diesel_PP,Diesel,0.0
22,2029,reg1,Diesel_PP,Diesel,0.0
23,2030,reg1,Diesel_PP,Diesel,28681.31654561452
24,2019,reg1,HFO_PP,Oil,1451264.3705117432
25,2020,reg1,HFO_PP,Oil,1451264.3705117432
26,2021,reg1,HFO_PP,Oil,1451264.3705117432
27,2022,reg1,HFO_PP,Oil,1451264.3705117432
28,2023,reg1,HFO_PP,Oil,1451264.3705117432
29,2024,reg1,HFO_PP,Oil,1451264.3705117432
30,2025,reg1,HFO_PP,Oil,1451264.3705117432
31,2026,reg1,HFO_PP,Oil,1360252.5309682267
32,2027,reg1,HFO_PP,Oil,1067803.8962344625
33,2028,reg1,HFO_PP,Oil,967509.5803411622
34,2029,reg1,HFO_PP,Oil,665396.6173045204
35,2030,reg1,HFO_PP,Oil,72850.56842335824
36,2019,reg1,Bio_PP,Biofuel,9733325.546672896
37,2020,reg1,Bio_PP,Biofuel,8111104.622227414
38,2021,reg1,Bio_PP,Biofuel,6488883.697781931
39,2022,reg1,Bio_PP,Biofuel,5677773.23555919
40,2023,reg1,Bio_PP,Biofuel,5677773.23555919
41,2024,reg1,Bio_PP,Biofuel,8516659.853338784
42,2025,reg1,Bio_PP,Biofuel,9733325.546672896
43,2026,reg1,Bio_PP,Biofuel,8111104.622227414
44,2027,reg1,Bio_PP,Biofuel,6894438.928893302
45,2028,reg1,Bio_PP,Biofuel,6488883.697781931
46,2029,reg1,Bio_PP,Biofuel,3649997.080002336
47,2030,reg1,Bio_PP,Biofuel,0.0
48,2019,reg1,New_coal_PP,Coal,0.0
49,2020,reg1,New_coal_PP,Coal,0.0
50,2021,reg1,New_coal_PP,Coal,0.0
51,2022,reg1,New_coal_PP,Coal,0.0
52,2023,reg1,New_coal_PP,Coal,0.0
53,2024,reg1,New_coal_PP,Coal,0.0
54,2025,reg1,New_coal_PP,Coal,0.0
55,2026,reg1,New_coal_PP,Coal,0.0
56,2027,reg1,New_coal_PP,Coal,0.0
57,2028,reg1,New_coal_PP,Coal,0.0
58,2029,reg1,New_coal_PP,Coal,0.0
59,2030,reg1,New_coal_PP,Coal,0.0
60,2019,reg1,New_bio_PP,Biofuel,0.0
61,2020,reg1,New_bio_PP,Biofuel,1387239320.0337384
