,Years,Region,Carrier,Value
0,Y0,reg1,Final_electricity,1948028527.8775094
1,Y1,reg1,Final_electricity,0.0
2,Y2,reg1,Final_electricity,0.0
3,Y3,reg1,Final_electricity,0.0
4,Y4,reg1,Final_electricity,0.0
5,Y5,reg1,Final_electricity,0.0
6,Y6,reg1,Final_electricity,0.0
7,Y7,reg1,Final_electricity,0.0
8,Y8,reg1,Final_electricity,0.0
9,Y9,reg1,Final_electricity,0.0
10,Y10,reg1,Final_electricity,0.0
11,Y11,reg1,Final_electricity,0.0
12,Y0,reg2,Final_electricity,272808899.5716548
13,Y1,reg2,Final_electricity,3565268.855551854
14,Y2,reg2,Final_electricity,16432497.43231405
15,Y3,reg2,Final_electricity,27267815.40416351
16,Y4,reg2,Final_electricity,45661016.63156897
17,Y5,reg2,Final_electricity,65672886.626117796
18,Y6,reg2,Final_electricity,84238913.41902962
19,Y7,reg2,Final_electricity,104066537.79304746
20,Y8,reg2,Final_electricity,136673575.1231249
21,Y9,reg2,Final_electricity,169773662.48970026
22,Y10,reg2,Final_electricity,176496400.75957888
23,Y11,reg2,Final_electricity,165067700.6000896
24,Y0,reg3,Final_electricity,343395929.81611925
25,Y1,reg3,Final_electricity,25165464.485434014
26,Y2,reg3,Final_electricity,58524897.17093471
27,Y3,reg3,Final_electricity,81525385.42877321
28,Y4,reg3,Final_electricity,115298225.82688102
29,Y5,reg3,Final_electricity,155836347.60263556
30,Y6,reg3,Final_electricity,181989748.63909328
31,Y7,reg3,Final_electricity,201004349.07836437
32,Y8,reg3,Final_electricity,213846917.8026111
33,Y9,reg3,Final_electricity,291385887.2909808
34,Y10,reg3,Final_electricity,323568469.45515794
35,Y11,reg3,Final_electricity,304796774.67769545
