,Year,From reg,To reg,Carrier,Value
0,2019,reg1,reg2,Coal,0.0
1,2020,reg1,reg2,Coal,0.0
2,2021,reg1,reg2,Coal,0.0
3,2022,reg1,reg2,Coal,0.0
4,2023,reg1,reg2,Coal,0.0
5,2024,reg1,reg2,Coal,0.0
6,2025,reg1,reg2,Coal,0.0
7,2026,reg1,reg2,Coal,0.0
8,2027,reg1,reg2,Coal,0.0
9,2028,reg1,reg2,Coal,0.0
10,2029,reg1,reg2,Coal,0.0
11,2030,reg1,reg2,Coal,0.0
12,2019,reg1,reg2,Diesel,0.0
13,2020,reg1,reg2,Diesel,0.0
14,2021,reg1,reg2,Diesel,0.0
15,2022,reg1,reg2,Diesel,0.0
16,2023,reg1,reg2,Diesel,0.0
17,2024,reg1,reg2,Diesel,0.0
18,2025,reg1,reg2,Diesel,0.0
19,2026,reg1,reg2,Diesel,0.0
20,2027,reg1,reg2,Diesel,5488.257814629663
21,2028,reg1,reg2,Diesel,0.0
22,2029,reg1,reg2,Diesel,21953.03125851865
23,2030,reg1,reg2,Diesel,74039.4163502382
24,2019,reg1,reg2,Oil,0.0
25,2020,reg1,reg2,Oil,0.0
26,2021,reg1,reg2,Oil,0.0
27,2022,reg1,reg2,Oil,0.0
28,2023,reg1,reg2,Oil,0.0
29,2024,reg1,reg2,Oil,0.0
30,2025,reg1,reg2,Oil,0.0
31,2026,reg1,reg2,Oil,0.0
32,2027,reg1,reg2,Oil,0.0
33,2028,reg1,reg2,Oil,0.0
34,2029,reg1,reg2,Oil,0.0
35,2030,reg1,reg2,Oil,0.0
36,2019,reg1,reg2,Biofuel,0.0
37,2020,reg1,reg2,Biofuel,0.0
38,2021,reg1,reg2,Biofuel,0.0
39,2022,reg1,reg2,Biofuel,0.0
40,2023,reg1,reg2,Biofuel,0.0
41,2024,reg1,reg2,Biofuel,0.0
42,2025,reg1,reg2,Biofuel,0.0
43,2026,reg1,reg2,Biofuel,0.0
44,2027,reg1,reg2,Biofuel,0.0
45,2028,reg1,reg2,Biofuel,0.0
46,2029,reg1,reg2,Biofuel,0.0
47,2030,reg1,reg2,Biofuel,0.0
48,2019,reg1,reg2,Electricity,0.0
49,2020,reg1,reg2,Electricity,15000.0
50,2021,reg1,reg2,Electricity,20000.0
51,2022,reg1,reg2,Electricity,24999.999999999993
52,2023,reg1,reg2,Electricity,29999.999999999993
53,2024,reg1,reg2,Electricity,35000.000000000015
54,2025,reg1,reg2,Electricity,36666.66666666666
55,2026,reg1,reg2,Electricity,35624.999999999985
56,2027,reg1,reg2,Electricity,39583.33333333333
57,2028,reg1,reg2,Electricity,59999.999999999985
58,2029,reg1,reg2,Electricity,70000.00000000003
59,2030,reg1,reg2,Electricity,69999.99999999999
60,2019,reg1,reg2,Final_electricity,0.0
61,2020,reg1,reg2,Final_electricity,11252045.908852825
62,2021,reg1,reg2,Final_electricity,46810864.77046432
63,2022,reg1,reg2,Final_electricity,76677126.33637163
64,2023,reg1,reg2,Final_electricity,123089838.62556463
65,2024,reg1,reg2,Final_electricity,170127813.81463024
66,2025,reg1,reg2,Final_electricity,208802223.74792013
67,2026,reg1,reg2,Final_electricity,247601419.43158743
68,2027,reg1,reg2,Final_electricity,291413238.9898522
69,2028,reg1,reg2,Final_electricity,381182898.92522806
70,2029,reg1,reg2,Final_electricity,424912786.3883455
71,2030,reg1,reg2,Final_electricity,474751088.3117641
72,2019,reg1,reg3,Coal,0.0
73,2020,reg1,reg3,Coal,0.0
74,2021,reg1,reg3,Coal,0.0
75,2022,reg1,reg3,Coal,0.0
76,2023,reg1,reg3,Coal,0.0
77,2024,reg1,reg3,Coal,0.0
78,2025,reg1,reg3,Coal,0.0
79,2026,reg1,reg3,Coal,0.0
80,2027,reg1,reg3,Coal,0.0
81,2028,reg1,reg3,Coal,0.0
82,2029,reg1,reg3,Coal,0.0
83,2030,reg1,reg3,Coal,0.0
84,2019,reg1,reg3,Diesel,0.0
85,2020,reg1,reg3,Diesel,0.0
86,2021,reg1,reg3,Diesel,0.0
87,2022,reg1,reg3,Diesel,0.0
88,2023,reg1,reg3,Diesel,0.0
89,2024,reg1,reg3,Diesel,0.0
90,2025,reg1,reg3,Diesel,0.0
91,2026,reg1,reg3,Diesel,0.0
92,2027,reg1,reg3,Diesel,0.0
93,2028,reg1,reg3,Diesel,0.0
94,2029,reg1,reg3,Diesel,10711.065919659986
95,2030,reg1,reg3,Diesel,0.0
96,2019,reg1,reg3,Oil,0.0
97,2020,reg1,reg3,Oil,0.0
98,2021,reg1,reg3,Oil,0.0
99,2022,reg1,reg3,Oil,0.0
100,2023,reg1,reg3,Oil,0.0
101,2024,reg1,reg3,Oil,0.0
102,2025,reg1,reg3,Oil,0.0
103,2026,reg1,reg3,Oil,0.0
104,2027,reg1,reg3,Oil,0.0
105,2028,reg1,reg3,Oil,0.0
106,2029,reg1,reg3,Oil,0.0
107,2030,reg1,reg3,Oil,0.0
108,2019,reg1,reg3,Biofuel,0.0
109,2020,reg1,reg3,Biofuel,0.0
110,2021,reg1,reg3,Biofuel,0.0
111,2022,reg1,reg3,Biofuel,0.0
112,2023,reg1,reg3,Biofuel,0.0
113,2024,reg1,reg3,Biofuel,0.0
114,2025,reg1,reg3,Biofuel,0.0
115,2026,reg1,reg3,Biofuel,0.0
116,2027,reg1,reg3,Biofuel,0.0
117,2028,reg1,reg3,Biofuel,0.0
118,2029,reg1,reg3,Biofuel,0.0
119,2030,reg1,reg3,Biofuel,0.0
120,2019,reg1,reg3,Electricity,0.0
121,2020,reg1,reg3,Electricity,15000.0
122,2021,reg1,reg3,Electricity,20000.0
123,2022,reg1,reg3,Electricity,24999.999999999993
124,2023,reg1,reg3,Electricity,29999.999999999993
125,2024,reg1,reg3,Electricity,35000.000000000015
126,2025,reg1,reg3,Electricity,40000.0
127,2026,reg1,reg3,Electricity,44999.999999999985
128,2027,reg1,reg3,Electricity,49999.999999999985
129,2028,reg1,reg3,Electricity,55000.000000000015
130,2029,reg1,reg3,Electricity,60000.0
131,2030,reg1,reg3,Electricity,70000.00000000001
132,2019,reg1,reg3,Final_electricity,0.0
133,2020,reg1,reg3,Final_electricity,129577330.71961461
134,2021,reg1,reg3,Final_electricity,173946251.33967727
135,2022,reg1,reg3,Final_electricity,205628223.071499
136,2023,reg1,reg3,Final_electricity,244491631.6364655
137,2024,reg1,reg3,Final_electricity,287480526.926209
138,2025,reg1,reg3,Final_electricity,313045131.6064689
139,2026,reg1,reg3,Final_electricity,336382969.26093763
140,2027,reg1,reg3,Final_electricity,339997204.40107405
141,2028,reg1,reg3,Final_electricity,411481089.94614995
142,2029,reg1,reg3,Final_electricity,444588338.6834227
143,2030,reg1,reg3,Final_electricity,457888624.28219116
144,2019,reg2,reg1,Coal,0.0
145,2020,reg2,reg1,Coal,0.0
146,2021,reg2,reg1,Coal,0.0
147,2022,reg2,reg1,Coal,0.0
148,2023,reg2,reg1,Coal,0.0
149,2024,reg2,reg1,Coal,0.0
150,2025,reg2,reg1,Coal,0.0
151,2026,reg2,reg1,Coal,0.0
152,2027,reg2,reg1,Coal,0.0
153,2028,reg2,reg1,Coal,0.0
154,2029,reg2,reg1,Coal,0.0
155,2030,reg2,reg1,Coal,0.0
156,2019,reg2,reg1,Diesel,0.0
157,2020,reg2,reg1,Diesel,0.0
158,2021,reg2,reg1,Diesel,0.0
159,2022,reg2,reg1,Diesel,0.0
160,2023,reg2,reg1,Diesel,0.0
161,2024,reg2,reg1,Diesel,0.0
162,2025,reg2,reg1,Diesel,0.0
163,2026,reg2,reg1,Diesel,0.0
164,2027,reg2,reg1,Diesel,0.0
165,2028,reg2,reg1,Diesel,0.0
166,2029,reg2,reg1,Diesel,0.0
167,2030,reg2,reg1,Diesel,57244.27464113451
168,2019,reg2,reg1,Oil,0.0
169,2020,reg2,reg1,Oil,0.0
170,2021,reg2,reg1,Oil,0.0
171,2022,reg2,reg1,Oil,0.0
172,2023,reg2,reg1,Oil,0.0
173,2024,reg2,reg1,Oil,0.0
174,2025,reg2,reg1,Oil,0.0
175,2026,reg2,reg1,Oil,0.0
176,2027,reg2,reg1,Oil,0.0
177,2028,reg2,reg1,Oil,0.0
178,2029,reg2,reg1,Oil,0.0
179,2030,reg2,reg1,Oil,0.0
180,2019,reg2,reg1,Biofuel,0.0
181,2020,reg2,reg1,Biofuel,0.0
182,2021,reg2,reg1,Biofuel,0.0
183,2022,reg2,reg1,Biofuel,0.0
184,2023,reg2,reg1,Biofuel,0.0
185,2024,reg2,reg1,Biofuel,0.0
186,2025,reg2,reg1,Biofuel,0.0
187,2026,reg2,reg1,Biofuel,0.0
188,2027,reg2,reg1,Biofuel,0.0
189,2028,reg2,reg1,Biofuel,0.0
190,2029,reg2,reg1,Biofuel,0.0
191,2030,reg2,reg1,Biofuel,0.0
192,2019,reg2,reg1,Electricity,0.0
193,2020,reg2,reg1,Electricity,0.0
194,2021,reg2,reg1,Electricity,0.0
195,2022,reg2,reg1,Electricity,0.0
196,2023,reg2,reg1,Electricity,0.0
197,2024,reg2,reg1,Electricity,0.0
198,2025,reg2,reg1,Electricity,3333.3333333333326
199,2026,reg2,reg1,Electricity,9374.999999999996
200,2027,reg2,reg1,Electricity,4166.666666666666
201,2028,reg2,reg1,Electricity,0.0
202,2029,reg2,reg1,Electricity,0.0
203,2030,reg2,reg1,Electricity,9999.999999999998
204,2019,reg2,reg1,Final_electricity,0.0
205,2020,reg2,reg1,Final_electricity,0.0
206,2021,reg2,reg1,Final_electricity,0.0
207,2022,reg2,reg1,Final_electricity,0.0
208,2023,reg2,reg1,Final_electricity,0.0
209,2024,reg2,reg1,Final_electricity,0.0
210,2025,reg2,reg1,Final_electricity,0.0
211,2026,reg2,reg1,Final_electricity,0.0
212,2027,reg2,reg1,Final_electricity,0.0
213,2028,reg2,reg1,Final_electricity,0.0
214,2029,reg2,reg1,Final_electricity,0.0
215,2030,reg2,reg1,Final_electricity,0.0
216,2019,reg2,reg3,Coal,0.0
217,2020,reg2,reg3,Coal,0.0
218,2021,reg2,reg3,Coal,0.0
219,2022,reg2,reg3,Coal,0.0
220,2023,reg2,reg3,Coal,0.0
221,2024,reg2,reg3,Coal,0.0
222,2025,reg2,reg3,Coal,0.0
223,2026,reg2,reg3,Coal,0.0
224,2027,reg2,reg3,Coal,0.0
225,2028,reg2,reg3,Coal,0.0
226,2029,reg2,reg3,Coal,0.0
227,2030,reg2,reg3,Coal,0.0
228,2019,reg2,reg3,Diesel,0.0
229,2020,reg2,reg3,Diesel,0.0
230,2021,reg2,reg3,Diesel,0.0
231,2022,reg2,reg3,Diesel,0.0
232,2023,reg2,reg3,Diesel,0.0
233,2024,reg2,reg3,Diesel,0.0
234,2025,reg2,reg3,Diesel,0.0
235,2026,reg2,reg3,Diesel,0.0
236,2027,reg2,reg3,Diesel,0.0
237,2028,reg2,reg3,Diesel,0.0
238,2029,reg2,reg3,Diesel,0.0
239,2030,reg2,reg3,Diesel,0.0
240,2019,reg2,reg3,Oil,0.0
241,2020,reg2,reg3,Oil,0.0
242,2021,reg2,reg3,Oil,0.0
243,2022,reg2,reg3,Oil,0.0
244,2023,reg2,reg3,Oil,0.0
245,2024,reg2,reg3,Oil,0.0
246,2025,reg2,reg3,Oil,0.0
247,2026,reg2,reg3,Oil,0.0
248,2027,reg2,reg3,Oil,0.0
249,2028,reg2,reg3,Oil,0.0
250,2029,reg2,reg3,Oil,0.0
251,2030,reg2,reg3,Oil,0.0
252,2019,reg2,reg3,Biofuel,0.0
253,2020,reg2,reg3,Biofuel,0.0
254,2021,reg2,reg3,Biofuel,0.0
255,2022,reg2,reg3,Biofuel,0.0
256,2023,reg2,reg3,Biofuel,0.0
257,2024,reg2,reg3,Biofuel,0.0
258,2025,reg2,reg3,Biofuel,0.0
259,2026,reg2,reg3,Biofuel,0.0
260,2027,reg2,reg3,Biofuel,0.0
261,2028,reg2,reg3,Biofuel,0.0
262,2029,reg2,reg3,Biofuel,0.0
263,2030,reg2,reg3,Biofuel,0.0
264,2019,reg2,reg3,Electricity,0.0
265,2020,reg2,reg3,Electricity,0.0
266,2021,reg2,reg3,Electricity,0.0
267,2022,reg2,reg3,Electricity,0.0
268,2023,reg2,reg3,Electricity,0.0
269,2024,reg2,reg3,Electricity,0.0
270,2025,reg2,reg3,Electricity,0.0
271,2026,reg2,reg3,Electricity,0.0
272,2027,reg2,reg3,Electricity,0.0
273,2028,reg2,reg3,Electricity,0.0
274,2029,reg2,reg3,Electricity,0.0
275,2030,reg2,reg3,Electricity,0.0
276,2019,reg2,reg3,Final_electricity,0.0
277,2020,reg2,reg3,Final_electricity,0.0
278,2021,reg2,reg3,Final_electricity,0.0
279,2022,reg2,reg3,Final_electricity,0.0
280,2023,reg2,reg3,Final_electricity,0.0
281,2024,reg2,reg3,Final_electricity,0.0
282,2025,reg2,reg3,Final_electricity,0.0
283,2026,reg2,reg3,Final_electricity,0.0
284,2027,reg2,reg3,Final_electricity,0.0
285,2028,reg2,reg3,Final_electricity,0.0
286,2029,reg2,reg3,Final_electricity,0.0
287,2030,reg2,reg3,Final_electricity,0.0
288,2019,reg3,reg1,Coal,0.0
289,2020,reg3,reg1,Coal,0.0
290,2021,reg3,reg1,Coal,0.0
291,2022,reg3,reg1,Coal,0.0
292,2023,reg3,reg1,Coal,0.0
293,2024,reg3,reg1,Coal,0.0
294,2025,reg3,reg1,Coal,0.0
295,2026,reg3,reg1,Coal,0.0
296,2027,reg3,reg1,Coal,0.0
297,2028,reg3,reg1,Coal,0.0
298,2029,reg3,reg1,Coal,0.0
299,2030,reg3,reg1,Coal,0.0
300,2019,reg3,reg1,Diesel,0.0
301,2020,reg3,reg1,Diesel,0.0
302,2021,reg3,reg1,Diesel,0.0
303,2022,reg3,reg1,Diesel,0.0
304,2023,reg3,reg1,Diesel,0.0
305,2024,reg3,reg1,Diesel,0.0
306,2025,reg3,reg1,Diesel,0.0
307,2026,reg3,reg1,Diesel,0.0
308,2027,reg3,reg1,Diesel,0.0
309,2028,reg3,reg1,Diesel,0.0
310,2029,reg3,reg1,Diesel,10976.515629259326
311,2030,reg3,reg1,Diesel,73592.16357867721
312,2019,reg3,reg1,Oil,0.0
313,2020,reg3,reg1,Oil,0.0
314,2021,reg3,reg1,Oil,0.0
315,2022,reg3,reg1,Oil,0.0
316,2023,reg3,reg1,Oil,0.0
317,2024,reg3,reg1,Oil,0.0
318,2025,reg3,reg1,Oil,0.0
319,2026,reg3,reg1,Oil,0.0
320,2027,reg3,reg1,Oil,0.0
