,Year,Region,Technology,Carrier,Value
0,2019,reg1,Coal_PP,Coal,1065404553.081763
1,2020,reg1,Coal_PP,Coal,286535741.22108996
2,2021,reg1,Coal_PP,Coal,152603775.75873923
3,2022,reg1,Coal_PP,Coal,171620426.92123455
4,2023,reg1,Coal_PP,Coal,190897812.82737994
5,2024,reg1,Coal_PP,Coal,185645702.19937834
6,2025,reg1,Coal_PP,Coal,180614662.1990046
7,2026,reg1,Coal_PP,Coal,157024233.05853143
8,2027,reg1,Coal_PP,Coal,103021539.3320742
9,2028,reg1,Coal_PP,Coal,32399316.434367143
10,2029,reg1,Coal_PP,Coal,169654.8609836312
11,2030,reg1,Coal_PP,Coal,15245997.17663455
12,2019,reg1,Diesel_PP,Diesel,1509146.3438164135
13,2020,reg1,Diesel_PP,Diesel,32554.900621264613
14,2021,reg1,Diesel_PP,Diesel,0.0
15,2022,reg1,Diesel_PP,Diesel,32978.673143584936
16,2023,reg1,Diesel_PP,Diesel,62881.097659017236
17,2024,reg1,Diesel_PP,Diesel,62881.097659017236
18,2025,reg1,Diesel_PP,Diesel,62881.097659017236
19,2026,reg1,Diesel_PP,Diesel,53468.79978614656
20,2027,reg1,Diesel_PP,Diesel,873.0522758799549
21,2028,reg1,Diesel_PP,Diesel,0.0
22,2029,reg1,Diesel_PP,Diesel,0.0
23,2030,reg1,Diesel_PP,Diesel,120125.37230015174
24,2019,reg1,HFO_PP,Oil,1451264.3705117432
25,2020,reg1,HFO_PP,Oil,1451264.3705117432
26,2021,reg1,HFO_PP,Oil,1451264.3705117432
27,2022,reg1,HFO_PP,Oil,1451264.3705117432
28,2023,reg1,HFO_PP,Oil,1451264.3705117432
29,2024,reg1,HFO_PP,Oil,1451264.3705117432
30,2025,reg1,HFO_PP,Oil,1451264.3705117432
31,2026,reg1,HFO_PP,Oil,1366436.148777984
32,2027,reg1,HFO_PP,Oil,1059560.1051114085
33,2028,reg1,HFO_PP,Oil,967509.5803411622
34,2029,reg1,HFO_PP,Oil,709336.1188028081
35,2030,reg1,HFO_PP,Oil,181408.0463139679
36,2019,reg1,Bio_PP,Biofuel,9733325.546672896
37,2020,reg1,Bio_PP,Biofuel,8111104.622227414
38,2021,reg1,Bio_PP,Biofuel,6488883.697781931
39,2022,reg1,Bio_PP,Biofuel,6083328.46667056
40,2023,reg1,Bio_PP,Biofuel,8922215.084450155
41,2024,reg1,Bio_PP,Biofuel,9733325.546672896
42,2025,reg1,Bio_PP,Biofuel,9733325.546672896
43,2026,reg1,Bio_PP,Biofuel,8111104.622227414
44,2027,reg1,Bio_PP,Biofuel,6083328.46667056
45,2028,reg1,Bio_PP,Biofuel,6488883.697781931
