,Year,Timesteps,Region,Technology,Carrier,Value
0,2019,1,reg1,Coal_PP,Coal,121621.52432440217
1,2019,2,reg1,Coal_PP,Coal,121621.52432440217
2,2019,3,reg1,Coal_PP,Coal,121621.52432440217
3,2019,4,reg1,Coal_PP,Coal,121621.52432440217
4,2019,5,reg1,Coal_PP,Coal,121621.52432440217
5,2019,6,reg1,Coal_PP,Coal,121621.52432440217
6,2019,7,reg1,Coal_PP,Coal,121621.52432440217
7,2019,8,reg1,Coal_PP,Coal,121621.52432440217
8,2019,9,reg1,Coal_PP,Coal,121621.52432440217
9,2019,10,reg1,Coal_PP,Coal,121621.52432440217
10,2019,11,reg1,Coal_PP,Coal,121621.52432440217
11,2019,12,reg1,Coal_PP,Coal,121621.52432440217
12,2019,13,reg1,Coal_PP,Coal,121621.52432440217
13,2019,14,reg1,Coal_PP,Coal,121621.52432440217
14,2019,15,reg1,Coal_PP,Coal,121621.52432440217
15,2019,16,reg1,Coal_PP,Coal,121621.52432440217
16,2019,17,reg1,Coal_PP,Coal,121621.52432440217
17,2019,18,reg1,Coal_PP,Coal,121621.52432440217
18,2019,19,reg1,Coal_PP,Coal,121621.52432440217
19,2019,20,reg1,Coal_PP,Coal,121621.52432440217
20,2019,21,reg1,Coal_PP,Coal,121621.52432440217
21,2019,22,reg1,Coal_PP,Coal,121621.52432440217
22,2019,23,reg1,Coal_PP,Coal,121621.52432440217
23,2019,24,reg1,Coal_PP,Coal,121621.52432440217
24,2020,1,reg1,Coal_PP,Coal,0.0
25,2020,2,reg1,Coal_PP,Coal,0.0
26,2020,3,reg1,Coal_PP,Coal,0.0
27,2020,4,reg1,Coal_PP,Coal,0.0
28,2020,5,reg1,Coal_PP,Coal,0.0
29,2020,6,reg1,Coal_PP,Coal,0.0
30,2020,7,reg1,Coal_PP,Coal,26540.890756732628
31,2020,8,reg1,Coal_PP,Coal,101153.5925198763
32,2020,9,reg1,Coal_PP,Coal,73974.92925279301
33,2020,10,reg1,Coal_PP,Coal,36343.071431049444
34,2020,11,reg1,Coal_PP,Coal,39251.509686828234
35,2020,12,reg1,Coal_PP,Coal,53113.6992058691
36,2020,13,reg1,Coal_PP,Coal,61562.62840520775
37,2020,14,reg1,Coal_PP,Coal,13247.128088025247
38,2020,15,reg1,Coal_PP,Coal,0.0
39,2020,16,reg1,Coal_PP,Coal,0.0
40,2020,17,reg1,Coal_PP,Coal,0.0
41,2020,18,reg1,Coal_PP,Coal,47202.41827024022
42,2020,19,reg1,Coal_PP,Coal,96961.74454982024
43,2020,20,reg1,Coal_PP,Coal,121621.52432440217
44,2020,21,reg1,Coal_PP,Coal,108542.6419656227
45,2020,22,reg1,Coal_PP,Coal,5513.649546519015
46,2020,23,reg1,Coal_PP,Coal,0.0
47,2020,24,reg1,Coal_PP,Coal,0.0
48,2021,1,reg1,Coal_PP,Coal,0.0
49,2021,2,reg1,Coal_PP,Coal,0.0
50,2021,3,reg1,Coal_PP,Coal,0.0
51,2021,4,reg1,Coal_PP,Coal,0.0
52,2021,5,reg1,Coal_PP,Coal,0.0
53,2021,6,reg1,Coal_PP,Coal,0.0
54,2021,7,reg1,Coal_PP,Coal,2853.5647171805913
55,2021,8,reg1,Coal_PP,Coal,71590.37756905727
56,2021,9,reg1,Coal_PP,Coal,26178.27689065323
57,2021,10,reg1,Coal_PP,Coal,0.0
58,2021,11,reg1,Coal_PP,Coal,0.0
59,2021,12,reg1,Coal_PP,Coal,2772.0620284291986
60,2021,13,reg1,Coal_PP,Coal,13771.284788972476
61,2021,14,reg1,Coal_PP,Coal,0.0
62,2021,15,reg1,Coal_PP,Coal,0.0
63,2021,16,reg1,Coal_PP,Coal,0.0
64,2021,17,reg1,Coal_PP,Coal,0.0
65,2021,18,reg1,Coal_PP,Coal,26177.31892072646
66,2021,19,reg1,Coal_PP,Coal,74284.40812014212
67,2021,20,reg1,Coal_PP,Coal,117600.9665862662
68,2021,21,reg1,Coal_PP,Coal,82864.27670388544
69,2021,22,reg1,Coal_PP,Coal,0.0
70,2021,23,reg1,Coal_PP,Coal,0.0
71,2021,24,reg1,Coal_PP,Coal,0.0
72,2022,1,reg1,Coal_PP,Coal,0.0
73,2022,2,reg1,Coal_PP,Coal,0.0
74,2022,3,reg1,Coal_PP,Coal,0.0
75,2022,4,reg1,Coal_PP,Coal,0.0
76,2022,5,reg1,Coal_PP,Coal,0.0
77,2022,6,reg1,Coal_PP,Coal,0.0
78,2022,7,reg1,Coal_PP,Coal,23602.70086771564
79,2022,8,reg1,Coal_PP,Coal,74832.32206955773
80,2022,9,reg1,Coal_PP,Coal,445.0007246845482
81,2022,10,reg1,Coal_PP,Coal,0.0
