,Year,From reg,To reg,Carrier,Value
0,2019,reg1,reg2,Coal,0.0
1,2019,reg1,reg2,Diesel,0.0
2,2019,reg1,reg2,Oil,0.0
3,2019,reg1,reg2,Biofuel,0.0
4,2019,reg1,reg2,Electricity,0.0
5,2019,reg1,reg2,Final_electricity,490951382.56061006
6,2019,reg1,reg3,Coal,0.0
7,2019,reg1,reg3,Diesel,0.0
8,2019,reg1,reg3,Oil,0.0
9,2019,reg1,reg3,Biofuel,0.0
10,2019,reg1,reg3,Electricity,0.0
11,2019,reg1,reg3,Final_electricity,1839234110.0511966
12,2019,reg2,reg1,Coal,0.0
13,2019,reg2,reg1,Diesel,0.0
14,2019,reg2,reg1,Oil,0.0
15,2019,reg2,reg1,Biofuel,0.0
16,2019,reg2,reg1,Electricity,0.0
17,2019,reg2,reg1,Final_electricity,0.0
18,2019,reg2,reg3,Coal,0.0
19,2019,reg2,reg3,Diesel,0.0
20,2019,reg2,reg3,Oil,0.0
21,2019,reg2,reg3,Biofuel,0.0
22,2019,reg2,reg3,Electricity,0.0
23,2019,reg2,reg3,Final_electricity,0.0
24,2019,reg3,reg1,Coal,0.0
25,2019,reg3,reg1,Diesel,0.0
26,2019,reg3,reg1,Oil,0.0
27,2019,reg3,reg1,Biofuel,0.0
28,2019,reg3,reg1,Electricity,0.0
29,2019,reg3,reg1,Final_electricity,0.0
30,2019,reg3,reg2,Coal,0.0
31,2019,reg3,reg2,Diesel,0.0
32,2019,reg3,reg2,Oil,0.0
33,2019,reg3,reg2,Biofuel,0.0
34,2019,reg3,reg2,Electricity,0.0
35,2019,reg3,reg2,Final_electricity,0.0
