,Year,Region,Technology,Carrier,Value
0,2019,reg1,Coal_supply,Coal,1065404553.0817633
1,2019,reg1,Diesel_supply,Diesel,1448.3046330445786
2,2019,reg1,Oil_supply,Oil,1449376.0794097774
3,2019,reg1,Biofuel_supply,Biofuel,9733325.546672894
4,2019,reg1,Hydro_PP_1,Electricity,612432000.0
5,2019,reg1,Hydro_PP_2,Electricity,60890880.0
6,2019,reg1,Hydro_PP_3,Electricity,242922240.0
7,2019,reg1,Hydro_PP_5,Electricity,3564475200.0
8,2019,reg1,Hydro_PP_6,Electricity,1702944000.0
9,2019,reg1,Hydro_PP_7,Electricity,40452480.0
10,2019,reg1,Hydro_PP_9,Electricity,67981680.0
11,2019,reg1,Hydro_PP_10,Electricity,250694400.0
12,2019,reg1,PV_PP,Electricity,158111888.0
13,2019,reg1,Coal_PP,Electricity,2628000000.0
14,2019,reg1,Diesel_PP,Electricity,740306.1400000001
15,2019,reg1,HFO_PP,Electricity,918603215.8779068
16,2019,reg1,Bio_PP,Electricity,35040000.0
17,2019,reg1,Elec_distribution,Final_electricity,10283288290.017906
18,2019,reg2,Diesel_supply,Diesel,9082.98389947079
19,2019,reg2,Hydro_PP_4,Electricity,56528640.0
20,2019,reg2,Hydro_PP_8,Electricity,38265696.0
21,2019,reg2,Diesel_PP,Electricity,4642800.0
22,2019,reg2,Elec_distribution,Final_electricity,99437136.0
23,2019,reg3,Diesel_supply,Diesel,39302.6139777855
24,2019,reg3,Diesel_PP,Electricity,20089672.974835306
25,2019,reg3,Elec_distribution,Final_electricity,20089672.974835306
